Transcript_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CsaV3_6G006970.1	7425.83651550399	2.8730792253584	0.153739019905171	18.6880287589355	6.19603877362813e-78	1.10332862441996e-73
CsaV3_3G004000.1	739.338909940899	-2.72417357749339	0.152251772686338	-17.892557370124	1.34778326591e-71	1.19999883080297e-67
CsaV3_5G007970.1	464.392874071065	-2.35683962628286	0.176163207121112	-13.3787279693571	8.05134784788782e-41	4.77901170424461e-37
CsaV3_1G042200.1	7240.97925809802	1.47122088641992	0.126354713421443	11.643577406668	2.47415665405432e-31	1.10143268846863e-27
CsaV3_1G017250.1	10663.8998488908	-1.33322961214474	0.116885363791302	-11.4063007454484	3.88919966105969e-30	1.3850995672898e-26
CsaV3_5G026340.1	398.145689029542	-1.99811348542043	0.179636424352874	-11.1230976268787	9.68498480442318e-29	2.87434207353939e-25
CsaV3_3G015780.1	1048.84576021955	-1.28647641210171	0.121433917795045	-10.5940451849129	3.17565082054941e-26	8.07840202307477e-23
CsaV3_7G026770.1	243.411850207792	-1.87164267059014	0.178720561867379	-10.4724529233464	1.15607837296733e-25	2.57328594842865e-22
CsaV3_4G025090.1	555.177108882339	-1.53548326968742	0.155142233486495	-9.89726159782973	4.27829136935446e-23	8.46483715712165e-20
CsaV3_1G019610.1	707.676095307177	-1.06230788692696	0.111255907897672	-9.54832787759931	1.31806417394658e-21	2.34707687454667e-18
CsaV3_1G010260.1	702.032128525557	-1.19728835882738	0.134236993571272	-8.91921315409738	4.696127422772e-19	7.60217645611827e-16
CsaV3_1G042890.1	384.553256309155	1.21654501051913	0.141911595633345	8.5725553651183	1.01213667764516e-17	1.50192648490228e-14
CsaV3_6G040560.1	5118.23256571153	1.56525499679316	0.183687560577452	8.52129012913299	1.57785724070295e-17	2.16130029886134e-14
CsaV3_2G035880.1	188.34475607493	1.40549166964889	0.172474250133684	8.14899423281737	3.66963449812397e-16	4.66751296486382e-13
CsaV3_6G009330.1	4077.5304887825	-0.839545796150797	0.103613273674477	-8.10268575036445	5.37589720910758e-16	6.38190677350525e-13
CsaV3_7G000640.1	178.850165417641	1.60318408555887	0.198904595013175	8.06006560810059	7.62535118553335e-16	8.48653928504952e-13
CsaV3_6G041950.1	469.77343648859	-1.25391055091937	0.157259415376057	-7.97351654856956	1.54221951241872e-15	1.61542957986118e-12
CsaV3_6G041050.1	306.296683830448	1.50775061131715	0.194717455654678	7.74327399794637	9.68889334991888e-15	9.58500688233364e-12
CsaV3_3G042150.1	2054.96079554152	1.25297416041359	0.162379958063171	7.71631040775455	1.1974547976729e-14	1.12226724116638e-11
CsaV3_5G004140.1	284.111155134866	-1.33794158082561	0.176941961747348	-7.56147138651048	3.98535095632436e-14	3.5483572239634e-11
CsaV3_4G003020.1	653.521962142211	-1.10781693050962	0.146660397568333	-7.55362012429744	4.23323708044779e-14	3.58958346150161e-11
CsaV3_5G034060.1	79.0020808264739	-1.46575114034406	0.195625216123054	-7.49264930867633	6.74970753683809e-14	5.46327464129436e-11
CsaV3_5G017380.1	959.686802139233	-1.31757921675808	0.176557610135495	-7.46260223927438	8.48301432661076e-14	6.56769722234599e-11
CsaV3_3G007780.1	139.959301865703	-1.37097915937598	0.186051686928828	-7.36880800172716	1.72160392710491e-13	1.27735838041488e-10
CsaV3_1G042210.1	75645.7176158949	0.965600406037298	0.133127416792832	7.25320470643494	4.07024198586193e-13	2.89915196168973e-10
CsaV3_1G041270.1	2435.78590216694	1.01027132778143	0.140463310373721	7.19242145933674	6.3652184523132e-13	4.35944019155158e-10
CsaV3_5G003490.1	370.556824720886	-1.04333851090314	0.146169648152254	-7.13786017885447	9.47949815545705e-13	6.25190457978606e-10
CsaV3_7G003410.1	3121.46931093748	1.22744791870469	0.173528139757341	7.07348053417237	1.51095126991122e-12	9.60911045118179e-10
CsaV3_2G006390.1	2800.22195864463	1.09641056322427	0.158936906890764	6.89840128811507	5.25910136322014e-12	3.22926958534003e-09
CsaV3_1G004690.1	1209.54620668453	-1.10062635686591	0.163210283525797	-6.74360912247265	1.54499839993398e-11	9.17059550254147e-09
CsaV3_7G030560.1	7169.86012877568	-0.729315432278241	0.108829072500577	-6.70147613611588	2.0632455521486e-11	1.18516817893904e-08
CsaV3_3G039430.1	603.566462441893	-1.16781709781727	0.17631687742291	-6.62339938686735	3.51030886971731e-11	1.95337718884551e-08
CsaV3_1G038090.1	9486.34844709108	0.600340297094079	0.0910288688322593	6.59505390757232	4.25101370833894e-11	2.23234832925413e-08
CsaV3_2G012580.1	1413.11729858111	-0.809762591020015	0.122790679441347	-6.59465844398076	4.26235992557086e-11	2.23234832925413e-08
CsaV3_6G048480.1	3583.94712036186	-1.05786659887242	0.161514781659281	-6.54965810562165	5.76689573811871e-11	2.93403178310514e-08
CsaV3_3G031650.1	1563.47745539658	-0.589588990807944	0.0902578105664501	-6.53227667619827	6.4777345856564e-11	3.12411090834412e-08
CsaV3_4G007160.1	800.768913469043	-1.04051709396885	0.159296269297492	-6.53196147378473	6.49138561289002e-11	3.12411090834412e-08
CsaV3_6G008130.1	1231.05865446044	0.751084187211896	0.115408947328061	6.50802389763482	7.61458069417351e-11	3.5682325900302e-08
CsaV3_4G023930.1	25409.4224859041	1.29002915499837	0.198561206126225	6.4968841606366	8.20005513931448e-11	3.74208462884475e-08
CsaV3_4G029290.1	417.611822207159	-1.10262232003333	0.16981310453109	-6.49315212202279	8.40587326072836e-11	3.74208462884475e-08
CsaV3_1G004000.1	302.65786266658	-1.20771844963797	0.18799723403557	-6.42412882207333	1.3262685402355e-10	5.65730839305772e-08
CsaV3_1G042880.1	607.700234374923	-1.25403313344058	0.195234797669852	-6.42320502496276	1.33434577698896e-10	5.65730839305772e-08
CsaV3_3G041460.1	2962.84908282854	-1.05321240389271	0.166285391064404	-6.33376388118661	2.39251565884047e-10	9.735226060213e-08
CsaV3_6G001710.1	299.794077296551	-1.24529834487709	0.196638631430575	-6.33292825431785	2.40551438563134e-10	9.735226060213e-08
CsaV3_5G039430.1	274.916041822396	-1.07368167086916	0.17056988128142	-6.29467326120552	3.08048028850696e-10	1.21898027772096e-07
CsaV3_1G002650.1	188.498742710569	-1.03824459082258	0.166926427054753	-6.21977364004817	4.97872619901431e-10	1.88630164735846e-07
CsaV3_3G015740.1	739.772977209401	-0.900017140865853	0.144697919099218	-6.21997293719699	4.97240638728161e-10	1.88630164735846e-07
CsaV3_1G034090.1	551.486947378331	-0.981679881725574	0.158141958223147	-6.20758647961326	5.380450224383e-10	1.99603494053308e-07
CsaV3_1G028800.1	200.781293625735	1.22740843126382	0.197914662531552	6.20170539950844	5.58545605776071e-10	2.0298003269499e-07
CsaV3_5G037650.1	789.695155582567	-0.977622900186413	0.158225723790365	-6.17865968166892	6.46480806703215e-10	2.30237674499283e-07
CsaV3_7G027830.1	2878.41965193687	-0.670368066146016	0.109073133152251	-6.1460420799527	7.94402170458064e-10	2.77370969595034e-07
CsaV3_7G021830.1	7527.64396935461	-0.722280124369179	0.117816495233124	-6.13055177833969	8.75748091625531e-10	2.99893197453381e-07
CsaV3_4G000770.1	194.478902444422	0.991424448831575	0.163010223213778	6.08197712563943	1.18709507481153e-09	3.98841547116396e-07
CsaV3_6G012530.1	3234.45212587503	0.716681788232083	0.117919006514631	6.07774615318828	1.2188349693628e-09	4.0192211665636e-07
CsaV3_7G031830.1	1964.10949576979	-0.670992469942862	0.110500452357537	-6.07230518633345	1.26087015856383e-09	4.0822390751902e-07
CsaV3_4G004110.1	337.133091107677	-0.878910162606724	0.145685244071369	-6.03293880728345	1.61004396318185e-09	5.11965229506773e-07
CsaV3_6G040550.1	589.701834038101	0.896923836804109	0.149532963443709	5.99816800355029	1.99556007033824e-09	6.23419967938824e-07
CsaV3_3G037140.1	1985.72284070186	-0.563565307790479	0.0947765324727402	-5.9462537095095	2.74348814876195e-09	8.42298163189725e-07
CsaV3_4G006290.1	1465.76287929044	-1.08884489077478	0.183268213483644	-5.94126428188246	2.82832209662682e-09	8.53625958892097e-07
CsaV3_7G033440.1	7804.12136154227	-0.765387745310284	0.129380726773696	-5.91577868200606	3.30309116772598e-09	9.80302407061609e-07
CsaV3_1G009400.1	2173.63020902175	-0.644367570495539	0.109448606106556	-5.88739860120466	3.92321719615619e-09	1.14525784609759e-06
CsaV3_4G025540.1	339.684790356443	-1.13997947178002	0.193760725997501	-5.88343930851456	4.01827486178813e-09	1.15408742683647e-06
CsaV3_7G026200.1	1989.34981554547	1.02796524966153	0.175191179902192	5.86767695859709	4.41943230310015e-09	1.24915604795721e-06
CsaV3_1G028810.1	1324.19425436292	1.12538547760059	0.191969527157218	5.86231311951367	4.56463215502379e-09	1.27003757475795e-06
CsaV3_5G002760.1	1961.8607953749	-0.539085440304468	0.0920085570213734	-5.85907939170527	4.65440156811965e-09	1.27509121113087e-06
CsaV3_6G038170.1	11933.5437295048	0.584076823765172	0.0997383954751807	5.85608802891275	4.73897096900719e-09	1.27858872795623e-06
CsaV3_6G049950.1	3362.05927340808	0.649326681342378	0.111248538938896	5.83672098110903	5.32381384095059e-09	1.41494258307175e-06
CsaV3_4G027090.1	128.151350453007	1.09289278514168	0.191199405485275	5.71598422269074	1.09070858190062e-08	2.85621289969181e-06
CsaV3_3G039500.1	1139.59015569572	-0.553979378732001	0.0984633871238711	-5.62624742976871	1.8417212115022e-08	4.75297530626373e-06
CsaV3_7G008920.1	17480.723695496	0.824903439703923	0.148390237488251	5.55901421594017	2.71302601749791e-08	6.90155061336933e-06
CsaV3_4G009060.1	363.88680542984	1.00998876961905	0.182392501674703	5.53744677190934	3.06912926002995e-08	7.69746263850046e-06
CsaV3_4G001410.1	6370.81712008153	0.61369067204825	0.110878560858962	5.53480012090766	3.1158347495126e-08	7.70606519230151e-06
CsaV3_2G034600.1	775.784998922285	0.844689013212122	0.154155116862943	5.47947437880458	4.26591213227468e-08	1.04059037451254e-05
CsaV3_1G045800.1	12780.8757921664	0.796259425010732	0.145594904572704	5.46900612591914	4.52566109177976e-08	1.08903306839625e-05
CsaV3_2G027950.1	255.956952213837	-0.941639029386506	0.172299055586349	-5.46514330088475	4.62532994082191e-08	1.09817667008288e-05
CsaV3_2G006690.1	1334.40202595997	-0.711914649623521	0.130552752046081	-5.45308037146729	4.95046805476503e-08	1.1570747089247e-05
CsaV3_4G028340.1	849.321814519782	-1.04657120469028	0.192070309344318	-5.44889633521718	5.06833421104773e-08	1.1570747089247e-05
CsaV3_6G022710.1	1238.74651941671	-0.991754755517078	0.182007764269437	-5.4489694958778	5.06625006956222e-08	1.1570747089247e-05
CsaV3_1G031800.1	1660.06048193351	-1.00550304862569	0.185333312895437	-5.42537675994049	5.78324213869713e-08	1.30357206030101e-05
CsaV3_6G042360.1	861.212979638807	0.893164677413864	0.164704550880899	5.42282937925454	5.86629818779591e-08	1.30576464787602e-05
CsaV3_6G038160.1	1188.69532903771	0.850008384296366	0.156900094670772	5.41751352081696	6.04335807862233e-08	1.32856885562997e-05
CsaV3_3G023380.1	93.1645661921254	-1.07488538659083	0.199091460820518	-5.39895273338639	6.70310296165376e-08	1.45563602973376e-05
CsaV3_4G024710.1	597.20530437678	-0.954718947576448	0.176988656072791	-5.39423807582219	6.88149270820489e-08	1.4763703693374e-05
CsaV3_5G017280.1	469.755291769208	-1.0293398552584	0.191043863413262	-5.38797654563628	7.12553482314566e-08	1.51052855471137e-05
